Name,Critic_Score,Developer
Madden NFL 06,88,EA Sports
StarCraft II: Wings of Liberty,93,Blizzard Entertainment
Assassin's Creed,81,Ubisoft Montreal
God of War III,92,SCE Santa Monica
Crash Team Racing,88,Naughty Dog
LEGO Star Wars: The Complete Saga,80,TT Fusion
Driver 2,62,Reflections Interactive
Batman: Arkham City,94,Rocksteady Studios
Tony Hawk's Pro Skater 2,98,Neversoft Entertainment
The Lord of the Rings: The Two Towers,82,Stormfront Studios
Tomb Raider,91,Core Design Ltd.
Animal Crossing: City Folk,73,Nintendo
Uncharted: The Nathan Drake Collection,86,Bluepoint Games
The Legend of Zelda: The Wind Waker,96,Nintendo
Guitar Hero III: Legends of Rock,86,Vicarious Visions
Luigi's Mansion: Dark Moon,86,Next Level Games
Forza Motorsport 4,91,Turn 10
Madden NFL 2005,91,EA Tiburon
Guitar Hero III: Legends of Rock,85,Neversoft Entertainment
Madden NFL 07,84,EA Sports
Halo 5: Guardians,84,343 Industries
Spider-Man: The Movie,76,Treyarch
Call of Duty: Infinite Warfare,77,Infinity Ward
God of War,94,SCE Santa Monica
Splatoon,81,Nintendo
Nintendo Land,77,Nintendo
Tony Hawk's Pro Skater 3,97,Neversoft Entertainment
Winning Eleven: Pro Evolution Soccer 2007,86,Konami
The Elder Scrolls IV: Oblivion,94,Bethesda Softworks
Need for Speed: Most Wanted,82,EA Canada
Michael Jackson: The Experience,56,"Ubisoft Paris, Ubisoft Montpellier"
Resistance: Fall of Man,86,Insomniac Games
Kingdom Hearts II,87,Square Enix
Super Mario 3D World,93,Nintendo
Fable II,89,Lionhead Studios
Namco Museum,79,Mass Media
Batman: Arkham Asylum,91,Rocksteady Studios
Metal Gear Solid 3: Snake Eater,91,KCEJ
Assassin's Creed: Revelations,80,Ubisoft Montreal
Fallout 4,88,Bethesda Game Studios
FIFA 14,84,EA Canada
Daxter,85,Ready at Dawn
FIFA Soccer 06,80,EA Canada
EyeToy Play,80,"SCEE, Zoe Mode"
Gran Turismo 5 Prologue,80,Polyphony Digital
Assassin's Creed: Revelations,80,Ubisoft Montreal
Street Fighter IV,94,Capcom
Madden NFL 2003,95,EA Sports
Half-Life,96,Valve Software
World of Warcraft: The Burning Crusade,91,Blizzard Entertainment
Battlefield 1,88,EA DICE
God of War II,93,SCE Santa Monica
Fallout: New Vegas,84,Obsidian Entertainment
Forza Motorsport 2,90,Turn 10
Carnival Games,56,Cat Daddy Games
Watch Dogs,80,Ubisoft Montreal
Tekken Tag Tournament,85,Namco
Far Cry 4,85,Ubisoft Montreal
Left 4 Dead 2,89,Valve Software
The Witcher 3: Wild Hunt,92,CD Projekt Red Studio
Assassin's Creed: Unity,70,"Ubisoft, Ubisoft Montreal"
Batman: Arkham Knight,87,Rocksteady Studios
The Legend of Zelda: Skyward Sword,93,Nintendo
Fallout 3,90,Bethesda Game Studios
Professor Layton and the Diabolical Box,84,Level 5
EA Sports Active,81,EA Canada
Tony Hawk's Underground,90,Neversoft Entertainment
Monster Hunter 4 Ultimate,86,Capcom
The Elder Scrolls V: Skyrim,94,Bethesda Game Studios
NBA 2K16,87,Visual Concepts
Tekken 5,88,Namco
MotorStorm,84,Evolution Studios
World Soccer Winning Eleven 8 International,91,KCET
Sports Champions,76,"SCEA, Zindagi Games"
Call of Duty: Ghosts,78,Infinity Ward
Flash Focus: Vision Training in Minutes a Day,59,"Nintendo, Namco Bandai Games"
Tom Clancy's The Division,80,Massive Entertainment
Big Brain Academy: Wii Degree,68,Nintendo
LEGO Indiana Jones: The Original Adventures,77,Traveller's Tales
The Sims: Unleashed,79,Maxis
Harry Potter and the Sorcerer's Stone,64,Argonaut Games
Super Paper Mario,85,Intelligent Systems
Spyro: Year of the Dragon,91,Insomniac Games
Assassin's Creed IV: Black Flag,88,Ubisoft
