Name,Platform,Platform_Identifier,Year_of_Release,Genre,Genre_Identifier,Publisher,Publisher_Identifier,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Developer_Identifier,Rating,Rating_Identifier,Sales_Category,Sales_Category_Identifier
Gran Turismo 4,PS2,13,2004,Racing,5,Sony Computer Entertainment,34,3.01,0.01,1.1,7.53,11.66,89,74,8.5,272,Polyphony Digital,550,E,1,HIGH,3
Super Mario Galaxy,Wii,7,2007,Platform,6,Nintendo,156,6.06,3.35,1.2,0.74,11.35,97,73,8.9,2147,Nintendo,1264,E,1,HIGH,3
Grand Theft Auto IV,X360,15,2008,Action,1,Take Two Interactive,21,6.76,3.07,0.14,1.03,11.01,98,86,7.9,2951,Rockstar North,1197,M,2,HIGH,3
Gran Turismo,PS,8,1997,Racing,5,Sony Computer Entertainment,34,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138,Polyphony Digital,550,E,1,HIGH,3
Super Mario 3D Land,3DS,16,2011,Platform,6,Nintendo,156,4.89,3,2.14,0.78,10.81,90,82,8.4,921,Nintendo,1264,E,1,HIGH,3
Gran Turismo 5,PS3,14,2010,Racing,5,Sony Computer Entertainment,34,2.96,4.82,0.81,2.11,10.7,84,82,7.5,1112,Polyphony Digital,550,E,1,HIGH,3
Call of Duty: Modern Warfare 2,PS3,14,2009,Shooter,3,Activision,176,4.99,3.64,0.38,1.6,10.6,94,67,6.3,2073,Infinity Ward,975,M,2,HIGH,3
Grand Theft Auto IV,PS3,14,2008,Action,1,Take Two Interactive,21,4.76,3.69,0.44,1.61,10.5,98,64,7.5,2833,Rockstar North,1197,M,2,HIGH,3
Call of Duty: Ghosts,X360,15,2013,Shooter,3,Activision,176,6.73,2.56,0.04,0.91,10.25,73,29,2.6,2117,Infinity Ward,975,M,2,HIGH,3
Just Dance 3,Wii,7,2011,Misc,7,Ubisoft,168,5.95,3.11,0,1.06,10.12,74,15,7.8,16,Ubisoft,855,E10+,3,HIGH,3
New Super Mario Bros. 2,3DS,16,2012,Platform,6,Nintendo,156,3.66,3.14,2.47,0.63,9.9,78,70,7.2,424,Nintendo,1264,E,1,HIGH,3
Halo: Reach,X360,15,2010,Shooter,3,Microsoft Game Studios,14,7.04,1.95,0.08,0.79,9.86,91,99,7.9,2045,Bungie,836,M,2,HIGH,3
Final Fantasy VII,PS,8,1997,Role-Playing,4,Sony Computer Entertainment,34,3.01,2.47,3.28,0.96,9.72,92,20,9.2,1282,SquareSoft,148,T,0,HIGH,3
Halo 4,X360,15,2012,Shooter,3,Microsoft Game Studios,14,6.65,2.28,0.04,0.74,9.71,87,87,7,3260,343 Industries,919,M,2,HIGH,3
Gran Turismo 2,PS,8,1999,Racing,5,Sony Computer Entertainment,34,3.88,3.42,1.69,0.5,9.49,93,23,9,135,Polyphony Digital,550,T,0,HIGH,3
Just Dance 2,Wii,7,2010,Misc,7,Ubisoft,168,5.8,2.85,0.01,0.78,9.44,74,24,7.3,24,Ubisoft,855,E10+,3,HIGH,3
Call of Duty: Ghosts,PS3,14,2013,Shooter,3,Activision,176,4.1,3.63,0.38,1.25,9.36,71,10,2.6,1047,Infinity Ward,975,M,2,HIGH,3
