Name,Platform,Platform_Identifier,Year_of_Release,Genre,Genre_Identifier,Publisher,Publisher_Identifier,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Developer_Identifier,Rating,Rating_Identifier,Sales_Category,Sales_Category_Identifier
Crash Bandicoot 2: N-Tranced,GBA,6,2003,Platform,6,Vivendi Games,245,0.63,0.66,0,0.07,1.36,75,21,7.8,30,Vicarious Visions,312,E,1,MEDIUM,2
Titanfall,X360,15,2014,Shooter,3,Electronic Arts,126,0.87,0.34,0.02,0.13,1.36,83,21,5.9,371,Bluepoint Games,630,M,2,MEDIUM,2
Dead to Rights,PS2,13,2002,Shooter,3,Electronic Arts,126,0.67,0.52,0,0.17,1.36,73,20,8.9,36,Namco,1098,M,2,MEDIUM,2
WWE '13,PS3,14,2012,Action,1,THQ,41,0.51,0.6,0,0.25,1.35,76,24,8.1,99,THQ,1216,T,0,MEDIUM,2
Hasbro Family Game Night 2,Wii,7,2009,Misc,7,Electronic Arts,126,0.7,0.52,0,0.13,1.35,63,16,6.3,6,Electronic Arts,366,E,1,MEDIUM,2
Gardening Mama,DS,11,2009,Puzzle,12,505 Games,25,0.79,0.42,0.01,0.13,1.35,60,17,9.3,4,Taito Corporation,540,E,1,MEDIUM,2
Burnout Paradise,X360,15,2008,Racing,5,Electronic Arts,126,0.63,0.57,0.01,0.14,1.35,88,68,6.9,279,Criterion Games,280,E10+,3,MEDIUM,2
Middle-Earth: Shadow of Mordor,XOne,5,2014,Action,1,Warner Bros. Interactive Entertainment,69,0.73,0.5,0.01,0.12,1.35,87,12,8,585,Monolith Productions,848,M,2,MEDIUM,2
MotorStorm: Pacific Rift,PS3,14,2008,Racing,5,Sony Computer Entertainment,34,0.43,0.65,0.02,0.25,1.35,82,63,8,318,Evolution Studios,634,T,0,MEDIUM,2
Samurai Warriors,PS2,13,2004,Action,1,Electronic Arts,126,0.22,0.05,1.06,0.02,1.35,73,37,8.7,23,Omega Force,1219,T,0,MEDIUM,2
Battlefield 4,PC,0,2013,Shooter,3,Electronic Arts,126,0.39,0.87,0,0.1,1.35,81,52,6,3517,EA DICE,122,M,2,MEDIUM,2
Gears of War 4,XOne,5,2016,Shooter,3,Microsoft Game Studios,14,0.78,0.44,0,0.12,1.35,84,96,6.2,815,The Coalition,801,M,2,MEDIUM,2
FIFA Soccer 08,PSP,1,2007,Sports,2,Electronic Arts,126,0.2,0.76,0,0.39,1.35,79,7,7.4,15,EA Canada,538,E,1,MEDIUM,2
FIFA Soccer 09,PSP,1,2008,Sports,2,Electronic Arts,126,0.23,0.73,0.02,0.37,1.35,84,8,8.9,21,EA Canada,538,E,1,MEDIUM,2
FIFA Soccer 08,X360,15,2007,Sports,2,Electronic Arts,126,0.31,0.89,0.01,0.14,1.35,82,43,7.9,57,EA Canada,538,E,1,MEDIUM,2
Test Drive,PS2,13,2002,Racing,5,Atari,229,0.95,0.21,0.01,0.18,1.34,73,19,7.4,23,Pitbull Syndicate,547,T,0,MEDIUM,2
Devil May Cry 4,X360,15,2008,Action,1,Capcom,261,0.79,0.34,0.08,0.13,1.34,84,61,8,248,Capcom,63,M,2,MEDIUM,2
Tom Clancy's Rainbow Six: Vegas 2,PS3,14,2008,Shooter,3,Ubisoft,168,0.66,0.44,0.04,0.21,1.34,81,32,7.9,93,Ubisoft Montreal,164,M,2,MEDIUM,2
Metroid: Other M,Wii,7,2010,Action,1,Nintendo,156,0.85,0.27,0.13,0.1,1.34,79,71,6.5,482,Team Ninja,353,T,0,MEDIUM,2
Crysis 2,X360,15,2011,Action,1,Electronic Arts,126,0.71,0.49,0.02,0.12,1.34,84,72,7.5,533,Crytek,876,M,2,MEDIUM,2
Chrono Trigger,DS,11,2008,Role-Playing,4,Square Enix,127,0.61,0.16,0.49,0.08,1.34,92,57,8.9,440,TOSE,155,E10+,3,MEDIUM,2
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,14,2011,Fighting,8,Capcom,261,0.81,0.28,0.11,0.14,1.34,84,56,7.3,147,Capcom,63,T,0,MEDIUM,2
Doom 3,XB,2,2005,Shooter,3,Activision,176,0.85,0.43,0,0.06,1.34,88,71,7.4,116,Vicarious Visions,312,M,2,MEDIUM,2
Tom Clancy's Rainbow Six: Siege,XOne,5,2015,Shooter,3,Ubisoft,168,0.77,0.45,0,0.12,1.34,74,24,6.9,252,Ubisoft Montreal,164,M,2,MEDIUM,2
F1 2010,PS3,14,2010,Racing,5,Codemasters,143,0.25,0.75,0.08,0.26,1.34,84,46,7.8,83,Codemasters Birmingham,437,E,1,MEDIUM,2
Monster Hunter Freedom,PSP,1,2005,Role-Playing,4,Capcom,261,0.24,0.03,1.03,0.04,1.34,71,34,8.6,78,Capcom,63,T,0,MEDIUM,2
Donkey Kong Jungle Beat,GC,4,2004,Platform,6,Nintendo,156,0.84,0.22,0.24,0.04,1.34,80,49,8.3,30,Nintendo,1264,E10+,3,MEDIUM,2
Need for Speed Carbon,PS2,13,2006,Racing,5,Electronic Arts,126,1.22,0.05,0.05,0.01,1.34,74,26,8.4,60,EA Canada,538,E10+,3,MEDIUM,2
Lost Planet: Extreme Condition,X360,15,2006,Shooter,3,Capcom,261,1.09,0.04,0.1,0.1,1.34,79,76,7.1,187,Capcom,63,T,0,MEDIUM,2
Max Payne 2: The Fall of Max Payne,PS2,13,2003,Shooter,3,Take Two Interactive,21,0.65,0.51,0,0.17,1.34,73,27,8.2,63,Rockstar Vienna,615,M,2,MEDIUM,2
Battlefield: Bad Company,PS3,14,2008,Shooter,3,Electronic Arts,126,0.76,0.35,0.05,0.18,1.34,84,50,8.1,203,EA DICE,122,T,0,MEDIUM,2
MVP Baseball 2004,PS2,13,2004,Sports,2,Electronic Arts,126,1.1,0.06,0,0.18,1.34,90,28,8.6,51,EA Sports,856,E,1,MEDIUM,2
Alan Wake,X360,15,2010,Action,1,Microsoft Game Studios,14,0.66,0.5,0.05,0.13,1.33,83,100,8.1,1156,Remedy Entertainment,684,T,0,MEDIUM,2
Metroid Prime 2: Echoes,GC,4,2004,Shooter,3,Nintendo,156,0.87,0.35,0.07,0.04,1.33,92,60,8.8,279,Retro Studios,1167,T,0,MEDIUM,2
Corvette,PS2,13,2004,Racing,5,TDK Mediactive,16,0.65,0.51,0,0.17,1.33,57,15,6.5,21,Steel Monkeys,56,E,1,MEDIUM,2
WWE SmackDown vs Raw 2008,PS3,14,2007,Fighting,8,THQ,41,0.62,0.49,0.01,0.2,1.33,74,27,7.3,41,Yuke's,487,T,0,MEDIUM,2
Skylanders SWAP Force,X360,15,2013,Platform,6,Activision,176,0.86,0.34,0,0.12,1.32,83,37,5.7,45,Vicarious Visions,312,E10+,3,MEDIUM,2
Grand Theft Auto: Chinatown Wars,DS,11,2009,Action,1,Take Two Interactive,21,0.58,0.56,0.05,0.14,1.32,93,85,8.3,280,Rockstar Leeds,787,M,2,MEDIUM,2
UFC Undisputed 2010,X360,15,2010,Fighting,8,THQ,41,0.9,0.31,0,0.11,1.32,84,70,6.7,80,Yuke's,487,T,0,MEDIUM,2
World of Warcraft: Wrath of the Lich King,PC,0,2008,Role-Playing,4,Activision,176,0.01,0.13,0,1.18,1.32,91,47,7.5,930,Blizzard Entertainment,599,T,0,MEDIUM,2
NFL 2K3,PS2,13,2002,Sports,2,Atari,229,1.06,0.08,0,0.18,1.32,93,20,7.4,25,Visual Concepts,261,E,1,MEDIUM,2
Assassin's Creed III: Liberation,PSV,10,2012,Action,1,Ubisoft,168,0.53,0.48,0.06,0.24,1.32,70,71,7.2,318,Ubisoft,855,M,2,MEDIUM,2
Your Shape: Fitness Evolved,X360,15,2010,Sports,2,Ubisoft,168,0.79,0.41,0,0.11,1.32,73,32,7.5,25,Ubisoft Montreal,164,E,1,MEDIUM,2
Need for Speed Underground Rivals,PSP,1,2005,Racing,5,Electronic Arts,126,0.69,0.37,0.02,0.24,1.32,74,36,8.5,38,Team Fusion,77,E,1,MEDIUM,2
Rage,PS3,14,2011,Shooter,3,Bethesda Softworks,189,0.47,0.58,0.06,0.2,1.31,81,37,6.2,353,id Software,417,M,2,MEDIUM,2
LEGO Harry Potter: Years 1-4,PS3,14,2010,Action,1,Warner Bros. Interactive Entertainment,69,0.55,0.55,0,0.21,1.31,79,42,8,52,Traveller's Tales,179,E10+,3,MEDIUM,2
Madagascar,PS2,13,2005,Platform,6,Activision,176,0.78,0.45,0,0.07,1.31,69,25,7.4,25,Toys for Bob,1025,E10+,3,MEDIUM,2
The Witcher 3: Wild Hunt,XOne,5,2015,Role-Playing,4,Namco Bandai Games,0,0.69,0.5,0,0.11,1.31,91,13,9.2,3963,CD Projekt Red Studio,763,M,2,MEDIUM,2
Turok: Evolution,PS2,13,2002,Shooter,3,Acclaim Entertainment,43,0.64,0.5,0,0.17,1.31,61,20,7.3,27,Acclaim,1198,M,2,MEDIUM,2
[Prototype],X360,15,2009,Action,1,Activision,176,0.84,0.35,0,0.12,1.31,78,83,7.8,356,Radical Entertainment,944,M,2,MEDIUM,2
Burnout 3: Takedown,XB,2,2004,Racing,5,Electronic Arts,126,0.84,0.43,0,0.04,1.31,94,76,7.2,139,Criterion Games,280,T,0,MEDIUM,2
The Beatles: Rock Band,X360,15,2009,Misc,7,MTV Games,89,0.97,0.23,0,0.11,1.3,89,76,8.6,127,Harmonix Music Systems,1009,T,0,MEDIUM,2
NBA Live 07,PS2,13,2006,Sports,2,Electronic Arts,126,1.07,0.04,0.02,0.17,1.3,63,12,6,39,EA Sports,856,E,1,MEDIUM,2
Yoshi's Woolly World,WiiU,9,2015,Platform,6,Nintendo,156,0.62,0.47,0.11,0.1,1.3,78,83,8.5,376,GoodFeel,1088,E,1,MEDIUM,2
Skylanders Giants,X360,15,2012,Action,1,Activision,176,0.75,0.44,0,0.11,1.3,80,35,6.6,38,Toys for Bob,1025,E10+,3,MEDIUM,2
SingStar '80s,PS2,13,2005,Misc,7,Sony Computer Entertainment,34,0.27,0.02,0,1.02,1.3,78,22,8.3,6,SCEA,708,T,0,MEDIUM,2
Tekken 6,X360,15,2009,Fighting,8,Namco Bandai Games,0,0.71,0.41,0.05,0.12,1.3,80,59,7,132,Namco Bandai Games America Namco Bandai Games,138,T,0,MEDIUM,2
Assassin's Creed Syndicate,XOne,5,2015,Action,1,Ubisoft,168,0.62,0.56,0,0.11,1.3,78,22,6.1,402,Ubisoft Quebec,1213,M,2,MEDIUM,2
Pokemon Ranger: Guardian Signs,DS,11,2010,Role-Playing,4,Nintendo,156,0.5,0.16,0.58,0.05,1.29,68,25,8.2,25,Creatures Inc.,1048,E,1,MEDIUM,2
LEGO Batman: The Videogame,PS3,14,2008,Action,1,Warner Bros. Interactive Entertainment,69,0.72,0.39,0,0.19,1.29,75,24,7.7,33,Traveller's Tales,179,E10+,3,MEDIUM,2
Crysis 2,PS3,14,2011,Action,1,Electronic Arts,126,0.46,0.56,0.06,0.21,1.29,85,54,7.2,406,Crytek,876,M,2,MEDIUM,2
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,6,2003,Platform,6,TDK Mediactive,16,0.93,0.34,0,0.02,1.29,49,10,6.2,5,Pocket Studios,90,E,1,MEDIUM,2
Namco Museum DS,DS,11,2007,Misc,7,Atari,229,1.13,0.01,0.06,0.09,1.29,67,19,5.9,8,M2,996,E,1,MEDIUM,2
Deal or No Deal,Wii,7,2009,Misc,7,Zoo Games,175,1.2,0,0,0.09,1.29,56,4,5,5,Artefacts Studio,111,E,1,MEDIUM,2
Transformers,PS2,13,2004,Shooter,3,Atari,229,0.63,0.49,0,0.16,1.29,75,51,8.6,27,Melbourne House,1031,T,0,MEDIUM,2
Dying Light,XOne,5,2015,Action,1,Warner Bros. Interactive Entertainment,69,0.86,0.3,0.01,0.12,1.29,74,26,7.8,387,Techland,633,M,2,MEDIUM,2
Fallout 4,PC,0,2015,Role-Playing,4,Bethesda Softworks,189,0.51,0.67,0,0.1,1.29,84,38,5.4,7512,Bethesda Game Studios,121,M,2,MEDIUM,2
Sonic Colors,DS,11,2010,Platform,6,Sega,147,0.69,0.47,0.01,0.12,1.29,79,26,7.9,66,Dimps Corporation,127,E,1,MEDIUM,2
Assassin's Creed: Rogue,PS3,14,2014,Action,1,Ubisoft,168,0.46,0.56,0.06,0.2,1.29,72,53,7.5,292,Ubisoft Sofia,793,M,2,MEDIUM,2
EA Playground,Wii,7,2007,Sports,2,Electronic Arts,126,0.68,0.47,0,0.13,1.29,66,32,7.6,30,EA Canada,538,E,1,MEDIUM,2
The Elder Scrolls Online,XOne,5,2015,Role-Playing,4,Bethesda Softworks,189,0.78,0.38,0,0.12,1.28,77,11,8.4,613,ZeniMax Media,394,M,2,MEDIUM,2
Champions of Norrath,PS2,13,2004,Role-Playing,4,Sony Online Entertainment,164,0.63,0.49,0,0.16,1.28,85,51,8.4,57,Snowblind Studios,617,T,0,MEDIUM,2
LEGO Batman: The Videogame,PSP,1,2008,Action,1,Warner Bros. Interactive Entertainment,69,0.57,0.44,0,0.27,1.28,73,5,7.4,10,Traveller's Tales,179,E10+,3,MEDIUM,2
Manhunt,PS2,13,2003,Action,1,Take Two Interactive,21,0.63,0.49,0,0.16,1.28,76,47,8.3,136,Rockstar North,1197,M,2,MEDIUM,2
Need for Speed Carbon,Wii,7,2006,Racing,5,Electronic Arts,126,0.45,0.66,0.02,0.15,1.28,67,21,7.3,26,EA Canada,538,E10+,3,MEDIUM,2
Silent Hill 2,PS2,13,2001,Action,1,Konami Digital Entertainment,22,0.62,0.49,0,0.16,1.28,89,34,8.9,557,KCET,256,M,2,MEDIUM,2
Castlevania: Symphony of the Night,PS,8,1997,Platform,6,Konami Digital Entertainment,22,0.58,0.4,0.21,0.08,1.27,93,12,9.4,358,Konami,489,T,0,MEDIUM,2
Guitar Hero: Aerosmith,Wii,7,2008,Misc,7,Activision,176,1.03,0.14,0,0.1,1.27,73,16,7.2,19,Vicarious Visions,312,T,0,MEDIUM,2
The LEGO Movie Videogame,X360,15,2014,Action,1,Warner Bros. Interactive Entertainment,69,0.69,0.47,0,0.11,1.27,69,8,7.2,26,TT Games,828,E10+,3,MEDIUM,2
The Sims 2: Nightlife,PC,0,2005,Simulation,9,Electronic Arts,126,1.22,0.05,0,0,1.27,76,31,6.6,71,Maxis,178,T,0,MEDIUM,2
Dark Souls II,PS3,14,2014,Role-Playing,4,Namco Bandai Games,0,0.4,0.33,0.4,0.15,1.27,91,69,8.1,1107,From Software,573,T,0,MEDIUM,2
Kid Icarus: Uprising,3DS,16,2012,Action,1,Nintendo,156,0.48,0.35,0.36,0.07,1.27,83,75,8.7,487,Opus Project Sora,450,E10+,3,MEDIUM,2
Pokemon Mystery Dungeon: Gates to Infinity,3DS,16,2012,Role-Playing,4,Nintendo,156,0.44,0.29,0.47,0.07,1.27,59,46,6.3,134,Nintendo Spike Chunsoft,163,E,1,MEDIUM,2
LEGO Batman: The Videogame,PS2,13,2008,Action,1,Warner Bros. Interactive Entertainment,69,0.72,0.03,0,0.52,1.27,77,8,8.9,17,Traveller's Tales,179,E10+,3,MEDIUM,2
NBA 2K9,X360,15,2008,Sports,2,Take Two Interactive,21,1,0.16,0,0.11,1.27,84,32,7.2,44,Visual Concepts,261,E,1,MEDIUM,2
Tony Hawk's Underground,XB,2,2003,Sports,2,Activision,176,0.85,0.37,0,0.05,1.27,85,33,9.1,26,Neversoft Entertainment,641,T,0,MEDIUM,2
Metal Gear Solid V: Ground Zeroes,PS4,3,2014,Action,1,Konami Digital Entertainment,22,0.45,0.47,0.17,0.18,1.27,75,70,6.2,1311,Kojima Productions,1070,M,2,MEDIUM,2
.hack//Infection Part 1,PS2,13,2002,Role-Playing,4,Atari,229,0.49,0.38,0.26,0.13,1.27,75,35,8.5,60,CyberConnect2,857,T,0,MEDIUM,2
Jillian Michaels' Fitness Ultimatum 2009,Wii,7,2008,Sports,2,Deep Silver,95,0.96,0.2,0,0.11,1.27,30,4,2,23,3G Studios,977,E,1,MEDIUM,2
Valkyria Chronicles,PS3,14,2008,Role-Playing,4,Sega,147,0.71,0.19,0.24,0.13,1.27,86,60,8.6,433,Sega,1164,T,0,MEDIUM,2
WWE '12,X360,15,2011,Fighting,8,THQ,41,0.74,0.4,0,0.12,1.27,71,52,6.3,89,Yuke's,487,T,0,MEDIUM,2
Sonic Adventure DX: Director's Cut,GC,4,2003,Platform,6,Sega,147,0.87,0.3,0.06,0.03,1.27,57,27,7.9,139,Sonic Team,737,E,1,MEDIUM,2
Battle Arena Toshinden,PS,8,1994,Fighting,8,Sony Computer Entertainment,34,0.39,0.26,0.53,0.08,1.27,69,4,6.3,4,Tamsoft,796,T,0,MEDIUM,2
WWE '13,X360,15,2012,Action,1,THQ,41,0.72,0.44,0,0.11,1.27,78,46,8,110,THQ Yuke's,542,T,0,MEDIUM,2
Final Fantasy X / X-2 HD Remaster,PS3,14,2013,Role-Playing,4,Square Enix,127,0.43,0.36,0.32,0.16,1.27,85,50,8.5,332,Virtuos,413,T,0,MEDIUM,2
Need for Speed Rivals,PS3,14,2013,Racing,5,Electronic Arts,126,0.33,0.69,0.05,0.19,1.27,80,6,4.9,123,Ghost Games,546,E10+,3,MEDIUM,2
EA Sports Active 2,Wii,7,2010,Sports,2,Electronic Arts,126,0.76,0.39,0,0.11,1.26,79,8,8.1,22,EA Canada,538,E,1,MEDIUM,2
Rockstar Games presents Table Tennis,Wii,7,2007,Sports,2,Take Two Interactive,21,0.39,0.72,0,0.15,1.26,68,36,5.8,21,Rockstar San Diego,499,E,1,MEDIUM,2
Football Manager 2011,PC,0,2010,Sports,2,Sega,147,0,1.01,0,0.25,1.26,85,23,8.4,77,Sports Interactive,190,E,1,MEDIUM,2
Tamagotchi Connection: Corner Shop,DS,11,2005,Simulation,9,Atari,229,0.1,0.02,1.12,0.01,1.26,59,20,7.7,6,NanaOnSha,772,E,1,MEDIUM,2
Tomb Raider: Underworld,PS3,14,2008,Action,1,Eidos Interactive,259,0.45,0.55,0.05,0.22,1.26,75,42,7.2,166,Nixxes Software,568,T,0,MEDIUM,2
LEGO Battles,DS,11,2009,Strategy,10,Warner Bros. Interactive Entertainment,69,0.77,0.37,0,0.11,1.25,65,29,8.9,51,Hellbent Games,1286,E,1,MEDIUM,2
NBA Live 2001,PS,8,2000,Sports,2,Electronic Arts,126,0.7,0.47,0,0.08,1.25,86,10,8,6,EA Sports,856,E,1,MEDIUM,2
Saints Row IV,PS3,14,2013,Action,1,Deep Silver,95,0.56,0.41,0.09,0.19,1.25,76,26,6.3,278,Volition Inc.,767,M,2,MEDIUM,2
Star Wars: The Force Unleashed,PS2,13,2008,Action,1,LucasArts,37,0.49,0,0.01,0.75,1.25,68,7,7.4,33,Krome Studios,904,T,0,MEDIUM,2
SOCOM: U.S. Navy SEALs Confrontation,PS3,14,2008,Shooter,3,Sony Computer Entertainment,34,0.94,0.16,0.02,0.13,1.25,63,64,6.9,223,Slant Six,1285,M,2,MEDIUM,2
Need for Speed: Most Wanted,X360,15,2005,Racing,5,Electronic Arts,126,1,0.13,0.02,0.1,1.25,83,54,8.5,134,EA Canada,538,T,0,MEDIUM,2
Pokemon XD: Gale of Darkness,GC,4,2005,Role-Playing,4,Nintendo,156,0.71,0.19,0.31,0.03,1.25,64,27,8.3,74,Genius Sonority Inc.,169,E,1,MEDIUM,2
Black,PS2,13,2006,Shooter,3,Electronic Arts,126,1.01,0.04,0.03,0.16,1.25,79,62,8.4,194,Criterion Games,280,M,2,MEDIUM,2
Tom Clancy's Rainbow Six: Vegas,PS3,14,2007,Shooter,3,Ubisoft,168,0.47,0.53,0.03,0.22,1.25,86,32,7.6,81,Ubisoft Montreal,164,M,2,MEDIUM,2
LittleBigPlanet PS Vita,PSV,10,2012,Platform,6,Sony Computer Entertainment,34,0.35,0.61,0.02,0.27,1.25,88,71,8.6,348,Tarsier Studios Double Eleven,273,E,1,MEDIUM,2
Pokemon Super Mystery Dungeon,3DS,16,2015,Role-Playing,4,Nintendo,156,0.48,0.35,0.34,0.08,1.25,69,44,8.8,190,Spike Chunsoft Co. Ltd. Spike Chunsoft,349,E,1,MEDIUM,2
RollerCoaster Tycoon 2,PC,0,2002,Strategy,10,Atari,229,1.19,0.05,0,0,1.25,74,22,8.5,135,Chris Sawyer,929,E,1,MEDIUM,2
Lara Croft Tomb Raider: The Angel of Darkness,PS2,13,2003,Action,1,Eidos Interactive,259,0.61,0.48,0,0.16,1.25,52,37,6.2,106,Core Design Ltd.,559,T,0,MEDIUM,2
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,13,2004,Action,1,Ubisoft,168,0.52,0.56,0,0.17,1.25,87,45,8.6,34,Ubisoft Shanghai,707,T,0,MEDIUM,2
Ratchet: Deadlocked,PS2,13,2005,Shooter,3,Sony Computer Entertainment,34,0.85,0.03,0.22,0.14,1.24,81,51,8.9,155,Insomniac Games,567,T,0,MEDIUM,2
Winter Sports: The Ultimate Challenge,Wii,7,2007,Sports,2,RTL,151,0.45,0.67,0,0.12,1.24,52,15,6.8,4,49Games,68,E,1,MEDIUM,2
Baldur's Gate: Dark Alliance,PS2,13,2001,Role-Playing,4,Virgin Interactive,30,0.61,0.48,0,0.16,1.24,87,29,8.3,90,Snowblind Studios,617,T,0,MEDIUM,2
Oddworld: Abe's Oddysee,PS,8,1997,Platform,6,GT Interactive,248,0.75,0.44,0,0.06,1.24,85,10,9,96,Oddworld Inhabitants,433,T,0,MEDIUM,2
Ridge Racer V,PS2,13,2000,Action,1,Namco Bandai Games,0,0.24,0.19,0.75,0.06,1.24,78,20,7.7,6,Namco,1098,E,1,MEDIUM,2
WWE SmackDown vs. Raw 2009,PS2,13,2008,Fighting,8,THQ,41,0.69,0,0,0.55,1.24,78,9,6.9,34,Yuke's,487,T,0,MEDIUM,2
LEGO Harry Potter: Years 5-7,Wii,7,2011,Action,1,Warner Bros. Interactive Entertainment,69,0.69,0.42,0,0.12,1.24,76,8,7.8,13,Traveller's Tales,179,E10+,3,MEDIUM,2
Star Wars Episode III: Revenge of the Sith,XB,2,2005,Action,1,Activision,176,0.82,0.38,0,0.04,1.24,61,44,8.1,54,Double Helix Games,524,T,0,MEDIUM,2
[Prototype],PS3,14,2009,Action,1,Activision,176,0.65,0.4,0,0.19,1.24,79,53,7.7,308,Radical Entertainment,944,M,2,MEDIUM,2
FIFA Street,PS3,14,2012,Sports,2,Electronic Arts,126,0.12,0.89,0,0.23,1.23,76,36,6.4,66,EA Sports,856,E,1,MEDIUM,2
Frogger: The Great Quest,PS2,13,2001,Platform,6,Konami Digital Entertainment,22,0.6,0.47,0,0.16,1.23,32,6,4.6,29,Konami,489,E,1,MEDIUM,2
Madden NFL 17,XOne,5,2016,Sports,2,Electronic Arts,126,1.08,0.02,0,0.13,1.23,83,30,5.9,39,EA Sports,856,E,1,MEDIUM,2
Ninja Gaiden,XB,2,2004,Action,1,Microsoft Game Studios,14,0.92,0.2,0.07,0.04,1.23,91,89,8.8,152,Team Ninja,353,M,2,MEDIUM,2
Crash Bandicoot: The Wrath of Cortex,XB,2,2002,Platform,6,Universal Interactive,31,0.59,0.57,0,0.07,1.23,70,16,8.1,19,Traveller's Tales,179,E,1,MEDIUM,2
Driv3r,PS2,13,2004,Racing,5,Atari,229,0.6,0.47,0,0.16,1.23,57,51,5.5,102,Reflections Interactive,800,M,2,MEDIUM,2
Assassin's Creed: Bloodlines,PSP,1,2009,Action,1,Ubisoft,168,0.43,0.47,0.05,0.28,1.23,63,38,7.2,69,Griptonite Games,425,M,2,MEDIUM,2
LEGO The Lord of the Rings,X360,15,2012,Action,1,Warner Bros. Interactive Entertainment,69,0.64,0.49,0,0.11,1.23,80,49,8.5,73,TT Games,828,E10+,3,MEDIUM,2
Hyrule Warriors,WiiU,9,2014,Action,1,Nintendo,156,0.58,0.42,0.13,0.1,1.23,76,81,8.3,662,Omega Force,1219,T,0,MEDIUM,2
Donkey Kong Country 2,GBA,6,2004,Platform,6,Nintendo,156,0.79,0.27,0.12,0.04,1.23,80,22,9.1,37,Rare Ltd.,1004,E,1,MEDIUM,2
Guitar Hero: Aerosmith,X360,15,2008,Misc,7,Activision,176,1,0.13,0,0.1,1.23,70,59,6.7,48,Neversoft Entertainment,641,T,0,MEDIUM,2
Need for Speed Carbon,PS3,14,2006,Racing,5,Electronic Arts,126,0.49,0.5,0.03,0.2,1.23,75,31,7.3,42,EA Canada,538,E10+,3,MEDIUM,2
Ben 10: Protector of Earth,Wii,7,2007,Action,1,D3Publisher,68,0.54,0.55,0,0.13,1.23,63,6,7.7,9,High Voltage Software,885,E10+,3,MEDIUM,2
2010 FIFA World Cup South Africa,PS3,14,2010,Sports,2,Electronic Arts,126,0.3,0.64,0.07,0.22,1.23,82,56,7.8,57,EA Canada,538,E,1,MEDIUM,2
Tales of Xillia,PS3,14,2011,Role-Playing,4,Namco Bandai Games,0,0.29,0.18,0.67,0.09,1.22,78,65,8.2,468,Bandai Namco Games,52,T,0,MEDIUM,2
Diddy Kong Racing DS,DS,11,2007,Racing,5,Nintendo,156,1.09,0.03,0,0.09,1.22,63,39,7.5,27,Rare Ltd.,1004,E,1,MEDIUM,2
Mario Power Tennis,GC,4,2004,Sports,2,Nintendo,156,0.58,0.16,0.46,0.03,1.22,80,43,8.5,48,Camelot Software Planning,1266,E,1,MEDIUM,2
Golden Sun: The Lost Age,GBA,6,2002,Role-Playing,4,Nintendo,156,0.61,0.27,0.27,0.07,1.22,86,29,9.5,150,Camelot Software Planning,1266,E,1,MEDIUM,2
Max Payne,XB,2,2001,Shooter,3,Take Two Interactive,21,0.98,0.19,0,0.05,1.22,89,24,8.3,61,neo Software,1194,M,2,MEDIUM,2
NBA 2K2,PS2,13,2002,Sports,2,Sega,147,0.59,0.46,0.01,0.15,1.22,89,19,7.8,16,Visual Concepts,261,E,1,MEDIUM,2
NASCAR Thunder 2003,PS2,13,2003,Racing,5,Unknown,111,0.6,0.46,0,0.16,1.22,84,16,8.7,17,EA Sports,856,E,1,MEDIUM,2
Cars,PS2,13,2006,Racing,5,THQ,41,1.01,0.04,0,0.16,1.21,71,30,8.4,12,Rainbow Studios,768,E,1,MEDIUM,2
Fuzion Frenzy,XB,2,2001,Misc,7,Microsoft Game Studios,14,0.93,0.24,0,0.04,1.21,70,28,6.9,16,Blitz Games,401,E,1,MEDIUM,2
Call of Duty: Finest Hour,XB,2,2004,Shooter,3,Activision,176,0.78,0.4,0,0.04,1.21,73,55,7.8,22,Spark Unlimited,201,T,0,MEDIUM,2
Final Fantasy IV,DS,11,2007,Simulation,9,Square Enix,127,0.51,0.04,0.62,0.05,1.21,85,52,7.7,164,Matrix Software,1173,E10+,3,MEDIUM,2
Star Wars: Battlefront II,PSP,1,2005,Shooter,3,LucasArts,37,1.05,0.05,0.01,0.1,1.21,69,22,8.5,111,Savage Entertainment,429,T,0,MEDIUM,2
Super Street Fighter IV: 3D Edition,3DS,16,2011,Fighting,8,Capcom,261,0.55,0.44,0.14,0.09,1.21,85,69,8.1,206,Capcom,63,T,0,MEDIUM,2
Sly Cooper and the Thievius Raccoonus,PS2,13,2002,Platform,6,Sony Computer Entertainment,34,1.03,0.14,0,0.04,1.21,86,41,8.6,184,Sucker Punch,770,E,1,MEDIUM,2
WWE 2K16,PS4,3,2015,Sports,2,Take Two Interactive,21,0.41,0.6,0,0.2,1.21,73,47,7.4,237,Yuke's,487,T,0,MEDIUM,2
Dino Crisis 2,PS,8,2000,Action,1,Virgin Interactive,30,0.34,0.49,0.28,0.1,1.21,86,13,9,91,Capcom,63,M,2,MEDIUM,2
Need for Speed Underground,GC,4,2003,Racing,5,Electronic Arts,126,0.69,0.48,0.01,0.03,1.21,83,24,9,45,Electronic Arts,366,E,1,MEDIUM,2
